Animaux | Chat, Chien, Lapin, Hamster, Cochon d'Inde, Perruche, Poisson rouge, Tortue, Furet
Métiers | Pompier, Policier, Gendarme, Ambulancier, Militaire, Secouriste, Maître-nageur, Garde-côte
Métiers | Avocat, Juge, Procureur, Notaire, Huissier, Greffier, Médiateur
Métiers | Cuisinier, Pâtissier, Boulanger, Boucher, Serveur, Barman, Sommelier, Traiteur, Chocolatier
Métiers | Maçon, Menuisier, Plombier, Électricien, Peintre en bâtiment, Couvreur, Carreleur, Architecte, Grutier
Métiers | Acteur, Chanteur, Danseur, Sculpteur, Écrivain, Photographe, Réalisateur, Illustrateur, Humoriste
Métiers | Professeur, Instituteur, Formateur, Éducateur, Directeur, Surveillant, Documentaliste
Métiers | Pilote, Chauffeur, Conducteur, Marin, Steward, Contrôleur, Livreur, Facteur, Aiguilleur
Métiers | Agriculteur, Éleveur, Jardinier, Fleuriste, Pêcheur, Bûcheron, Berger, Vigneron, Apiculteur
Métiers | Comptable, Secrétaire, Banquier, Informaticien, Commercial, Consultant, Journaliste, Traducteur
Métiers | Coiffeur, Barbier, Esthéticienne, Tatoueur, Masseur, Manucure, Styliste
Métiers | Astronaute, Scientifique, Chercheur, Archéologue, Biologiste, Astronome, Chimiste, Géologue
Nature | Pluie, Neige, Grêle, Brouillard, Orage, Tempête, Vent, Canicule, Verglas, Bruine
Nature | Soleil, Lune, Étoile, Nuage, Arc-en-ciel, Éclair, Aurore boréale, Comète, Éclipse
Nature | Planète, Galaxie, Trou noir, Astéroïde, Satellite, Météorite, Nébuleuse, Constellation
Nature | Chêne, Sapin, Bouleau, Saule, Peuplier, Platane, Olivier, Palmier, Érable, Cyprès
Nature | Rose, Tulipe, Marguerite, Tournesol, Orchidée, Lilas, Pivoine, Jonquille, Coquelicot, Muguet
Nature | Séisme, Tsunami, Éruption, Avalanche, Inondation, Ouragan, Tornade, Incendie, Glissement de terrain
Nature | Sable, Terre, Boue, Gravier, Roche, Argile, Poussière, Galet
Nature | Cactus, Fougère, Mousse, Lierre, Bambou, Algue, Champignon, Ronce
Nature | Diamant, Or, Argent, Rubis, Émeraude, Saphir, Perle, Cuivre, Bronze
Fiction | Vampire, Zombie, Loup-garou, Fantôme, Momie, Squelette, Ogre, Troll, Croque-mitaine
Fiction | Sorcier, Magicien, Fée, Elfe, Nain, Gobelin, Lutin, Druide, Enchanteur
Fiction | Dragon, Licorne, Sirène, Phénix, Griffon, Centaure, Minotaure, Yéti, Kraken
Fiction | Super-héros, Chevalier, Samouraï, Ninja, Pirate, Cow-boy, Gladiateur, Mousquetaire, Viking
Fiction | Robot, Cyborg, Extraterrestre, Vaisseau spatial, Laser, Téléportation, Clone, Androïde, Rayon tracteur
Fiction | Baguette magique, Potion, Grimoire, Boule de cristal, Amulette, Cape d'invisibilité, Balai volant
Numérique | Instagram, TikTok, Snapchat, Facebook, Twitter, LinkedIn, Pinterest, Discord, Reddit
Numérique | YouTube, Twitch, Netflix, Disney+, Prime Video, Dailymotion, Spotify, Deezer
Numérique | Ordinateur, Tablette, Téléphone, Console, Clavier, Souris, Écran, Imprimante, Casque, Webcam
Numérique | Mot de passe, Code PIN, Wifi, Bluetooth, Cloud, Bug, Virus, Mise à jour, Pare-feu
Numérique | Selfie, Story, Emoji, GIF, Mème, Podcast, Newsletter, Tutoriel, Vlog
Numérique | Bitcoin, Action en bourse, Carte bancaire, Virement, Chèque, Espèces, Pourboire, Facture
Corps | Œil, Nez, Bouche, Oreille, Sourcil, Menton, Joue, Front, Lèvre
Corps | Bras, Jambe, Main, Pied, Doigt, Orteil, Coude, Genou, Épaule, Cheville
Corps | Cœur, Poumon, Cerveau, Estomac, Foie, Rein, Intestin, Rate
Corps | Rhume, Grippe, Fièvre, Migraine, Toux, Angine, Allergie, Courbature, Nausée
Corps | Cheveux, Barbe, Moustache, Frange, Chignon, Tresse, Queue de cheval, Dreadlocks
Événements | Noël, Pâques, Halloween, Nouvel An, Carnaval, Saint-Valentin, Anniversaire, Mariage, Poisson d'avril
Événements | Naissance, Baptême, Communion, Diplôme, Retraite, Déménagement, Divorce, Fiançailles
Événements | Examen, Entretien d'embauche, Permis de conduire, Oral, Discours, Audition, Casting
Événements | Manifestation, Grève, Élection, Référendum, Défilé, Cérémonie, Inauguration
Concepts | Joie, Tristesse, Colère, Peur, Jalousie, Honte, Fierté, Surprise, Dégoût, Ennui
Concepts | Rêve, Cauchemar, Sieste, Insomnie, Ronflement, Somnambulisme, Réveil, Berceuse
Concepts | Amour, Amitié, Rivalité, Confiance, Trahison, Réconciliation, Rupture, Complicité
Concepts | Salaire, Dette, Impôt, Épargne, Prêt, Héritage, Amende, Loyer, Prime
Concepts | Seconde, Minute, Heure, Jour, Semaine, Mois, Année, Siècle, Décennie
Concepts | Mensonge, Secret, Rumeur, Ragot, Aveu, Promesse, Serment, Alibi
Concepts | Chance, Hasard, Destin, Malédiction, Superstition, Présage, Coïncidence
Concepts | Silence, Écho, Murmure, Cri, Chuchotement, Vacarme, Sifflement, Grognement
École | Mathématiques, Histoire, Géographie, Physique, Chimie, Biologie, Philosophie, Anglais, Sport
École | Récréation, Cantine, Devoirs, Contrôle, Rentrée, Vacances, Conseil de classe, Colle
École | Cartable, Trousse, Classeur, Manuel, Tableau, Craie, Compas, Calculatrice
Maison | Porte, Fenêtre, Volet, Rideau, Escalier, Balcon, Terrasse, Toit, Cheminée
Maison | Tapis, Coussin, Couverture, Oreiller, Drap, Couette, Matelas, Édredon
Maison | Cadre photo, Vase, Bougeoir, Horloge, Tableau, Statuette, Plante verte, Aquarium
Animaux | Chat, Chien, Lapin, Hamster, Cochon d'Inde, Perruche, Poisson rouge, Tortue, Furet, Canari, Chinchilla, Gerbille, Perroquet
Animaux | Lion, Tigre, Panthère, Guépard, Jaguar, Puma, Lynx, Léopard, Léopard des neiges
Animaux | Vache, Cochon, Mouton, Chèvre, Poule, Canard, Oie, Cheval, Âne, Dinde, Coq, Bélier, Taureau, Poney, Lama, Alpaga
Animaux | Éléphant, Girafe, Rhinocéros, Hippopotame, Zèbre, Gazelle, Buffle, Autruche, Antilope, Hyène, Suricate, Phacochère
Animaux | Renard, Loup, Sanglier, Cerf, Blaireau, Écureuil, Hérisson, Chevreuil, Fouine, Putois, Lièvre, Faisan
Animaux | Requin, Dauphin, Baleine, Orque, Phoque, Otarie, Méduse, Pieuvre, Raie, Espadon, Hippocampe, Étoile de mer, Crabe, Homard, Crevette, Moule, Huître
Animaux | Pigeon, Moineau, Corbeau, Mouette, Hirondelle, Merle, Pie, Rouge-gorge, Mésange, Étourneau, Geai, Coucou, Pivert
Animaux | Aigle, Faucon, Hibou, Chouette, Vautour, Buse, Épervier, Milan, Condor, Balbuzard
Animaux | Abeille, Guêpe, Frelon, Fourmi, Moustique, Mouche, Coccinelle, Papillon, Libellule, Sauterelle, Criquet, Grillon, Cafard, Puce, Punaise, Luciole
Animaux | Serpent, Lézard, Crocodile, Alligator, Iguane, Caméléon, Gecko, Cobra, Python, Vipère, Boa, Varan
Animaux | Flamant rose, Pélican, Cygne, Héron, Grue, Ibis, Cigogne, Canard colvert, Oie sauvage
Animaux | Perroquet, Toucan, Colibri, Paon, Perruche, Cacatoès, Ara, Calao
Animaux | Panda, Koala, Paresseux, Tapir, Okapi, Fourmilier, Tatou, Pangolin
Animaux | Chameau, Dromadaire, Lama, Alpaga, Yak, Bison, Buffle, Bœuf musqué
Nourriture | Pomme, Poire, Pêche, Abricot, Prune, Cerise, Raisin, Figue, Nectarine, Coing, Mirabelle, Brugnon, Datte, Grenade
Nourriture | Banane, Mangue, Ananas, Papaye, Kiwi, Litchi, Noix de coco, Fruit de la passion, Goyave, Carambole, Ramboutan
Nourriture | Carotte, Navet, Radis, Betterave, Panais, Pomme de terre, Patate douce, Céleri, Topinambour, Rutabaga
Nourriture | Épinard, Salade, Brocoli, Chou, Haricot vert, Petit pois, Courgette, Poireau, Aubergine, Chou-fleur, Endive, Fenouil, Asperge, Blette, Cresson
Nourriture | Gâteau, Tarte, Éclair, Mille-feuille, Macaron, Tiramisu, Cheesecake, Crème brûlée, Profiterole, Paris-Brest, Baba au rhum, Clafoutis, Flan, Cookie, Brownie
Nourriture | Riz, Pâtes, Farine, Sucre, Huile, Vinaigre, Conserve, Lentilles, Pois chiches, Semoule, Quinoa, Boulgour, Haricots rouges
Nourriture | Ketchup, Mayonnaise, Moutarde, Sauce soja, Vinaigrette, Béchamel, Pesto, Harissa, Aïoli, Sauce tomate, Guacamole, Houmous
Nourriture | Croissant, Pain au chocolat, Chausson aux pommes, Palmier, Chouquette, Brioche, Beignet, Donut, Churros, Gaufre, Crêpe, Pancake
Nourriture | Crème fraîche, Lait, Beurre, Yaourt, Fromage blanc, Crème chantilly, Lait concentré, Kéfir
Nourriture | Pizza margherita, Pizza quatre fromages, Pizza reine, Calzone, Focaccia, Bruschetta, Panini
Boisson | Café, Thé, Chocolat chaud, Cappuccino, Expresso, Infusion, Latte, Moka, Déca, Tisane, Chicorée, Matcha
Boisson | Bière, Vin, Champagne, Cidre, Whisky, Vodka, Rhum, Gin, Tequila, Pastis, Cognac, Porto, Saké, Hydromel
Boisson | Eau, Limonade, Coca, Jus d'orange, Smoothie, Sirop, Thé glacé, Soda, Tonic, Jus de pomme, Eau gazeuse, Milkshake, Citronnade
Transport | Voiture, Camion, Bus, Moto, Scooter, Camionnette, Taxi, Caravane, Tracteur, Quad, Buggy, Limousine, Bulldozer, Grue
Transport | Avion, Hélicoptère, Montgolfière, Planeur, Deltaplane, Parachute, Drone, Fusée, Dirigeable, ULM, Navette spatiale, Jetpack
Transport | Bateau, Voilier, Ferry, Sous-marin, Kayak, Canoë, Paquebot, Jet-ski, Pédalo, Radeau, Barque, Chalutier, Gondole, Catamaran, Péniche
Voiture | Volant, Frein, Moteur, Pneu, Phare, Rétroviseur, Coffre, Ceinture de sécurité, Klaxon, Essuie-glace, Pare-brise, Boîte de vitesses, Airbag, Portière
Vélo | Guidon, Selle, Pédale, Chaîne, Sonnette, Roue, Panier, Garde-boue, Dérailleur, Rayon, Cadre, Casque
Sport | Football, Rugby, Basket, Handball, Volley, Water-polo, Football américain, Hockey sur gazon, Netball, Futsal
Sport | Boxe, Judo, Karaté, Lutte, Taekwondo, MMA, Escrime, Sumo, Aïkido, Kung-fu, Capoeira, Jiu-jitsu, Kickboxing
Sport | Ski, Snowboard, Luge, Patinage, Hockey sur glace, Biathlon, Bobsleigh, Curling, Ski de fond, Saut à ski, Raquettes
Sport | Golf, Pétanque, Bowling, Fléchettes, Tir à l'arc, Billard, Palet, Croquet, Molkky, Cornhole
Sport | Échecs, Dames, Scrabble, Monopoly, Cluedo, Risk, Backgammon, Uno, Trivial Pursuit, Puissance 4, Jenga, Tarot, Belote, Poker, Solitaire
Danse | Valse, Tango, Salsa, Hip-hop, Breakdance, Flamenco, Samba, Cha-cha-cha, Rock acrobatique, Danse classique, Claquettes, Zumba, Twerk, Madison
Musique | Guitare, Violon, Violoncelle, Harpe, Banjo, Ukulélé, Contrebasse, Mandoline, Sitar, Balalaïka, Luth, Cithare
Musique | Flûte, Clarinette, Saxophone, Trompette, Trombone, Hautbois, Cor, Tuba, Cornemuse, Harmonica, Flûte de pan, Basson
Musique | Rock, Jazz, Rap, Reggae, Blues, Métal, Électro, Classique, Country, Funk, Soul, Disco, Punk, Techno, Gospel, Opéra, Salsa, K-pop
Objets | Casserole, Poêle, Marmite, Louche, Spatule, Fouet, Passoire, Râpe, Cocotte, Écumoire, Rouleau à pâtisserie, Moule à gâteau, Planche à découper, Économe
Objets | Frigo, Congélateur, Four, Micro-ondes, Lave-vaisselle, Machine à laver, Aspirateur, Grille-pain, Mixeur, Sèche-linge, Robot ménager, Bouilloire, Cafetière, Friteuse, Hotte
Objets | Chaise, Tabouret, Fauteuil, Canapé, Table, Bureau, Commode, Armoire, Étagère, Lit, Buffet, Bibliothèque, Table basse, Banc, Pouf, Transat
Objets | Marteau, Tournevis, Pince, Scie, Perceuse, Clé à molette, Niveau, Ponceuse, Burin, Lime, Étau, Visseuse, Mètre ruban, Cutter, Chalumeau
Objets | Stylo, Crayon, Feutre, Marqueur, Gomme, Règle, Ciseaux, Colle, Agrafeuse, Surligneur, Compas, Équerre, Taille-crayon, Trombone, Punaise, Scotch, Perforatrice
Jardin | Arrosoir, Râteau, Bêche, Sécateur, Tondeuse, Brouette, Tuyau d'arrosage, Serre, Pelle, Binette, Taille-haie, Composteur, Épouvantail, Nichoir
Maquillage | Rouge à lèvres, Mascara, Fond de teint, Vernis à ongles, Fard à paupières, Blush, Eye-liner, Crayon à sourcils, Anticernes, Poudre
Bébé | Biberon, Tétine, Couche, Poussette, Berceau, Hochet, Body, Bavoir, Doudou, Table à langer, Porte-bébé, Chaise haute
Camping | Tente, Sac de couchage, Réchaud, Lampe torche, Boussole, Gourde, Hamac, Matelas gonflable, Glacière, Canif, Feu de camp, Piquet
Plage | Parasol, Serviette de plage, Bouée, Palmes, Masque de plongée, Tuba, Château de sable, Crème solaire, Transat, Ballon de plage, Seau et pelle, Paréo
Vêtements | Chemise, T-shirt, Pull, Sweat, Débardeur, Polo, Gilet, Chemisier, Tunique, Marcel, Col roulé, Cardigan, Body, Crop top
Vêtements | Basket, Botte, Sandale, Escarpin, Mocassin, Tong, Chausson, Ballerine, Espadrille, Bottine, Sabot, Chaussure de sécurité, Chaussure de ski, Crampons
Vêtements | Bonnet, Casquette, Chapeau, Écharpe, Foulard, Gant, Ceinture, Cravate, Béret, Bandana, Moufle, Cache-oreilles, Haut-de-forme, Sombrero, Turban
Travail | Blouse, Bleu de travail, Casque de chantier, Gilet jaune, Tablier, Uniforme, Combinaison, Salopette, Charlotte, Masque, Gants de protection
Géographie | France, Espagne, Italie, Allemagne, Portugal, Grèce, Suède, Pologne, Belgique, Suisse, Autriche, Norvège, Irlande, Pays-Bas, Danemark, Croatie
Géographie | Japon, Chine, Inde, Brésil, Canada, Mexique, Australie, Égypte, Maroc, Russie, Argentine, Kenya, Thaïlande, Vietnam, Pérou, Islande
Géographie | Paris, Lyon, Marseille, Bordeaux, Lille, Toulouse, Nantes, Strasbourg, Nice, Rennes, Montpellier, Grenoble, Brest, Reims
Géographie | Londres, Berlin, Madrid, Rome, Lisbonne, Vienne, Athènes, Dublin, Oslo, Prague, Amsterdam, Bruxelles, Copenhague, Varsovie
Géographie | New York, Tokyo, Pékin, Sydney, Rio de Janeiro, Le Caire, Montréal, Dubaï, Bangkok, Los Angeles, Istanbul, Mexico
Géographie | Tour Eiffel, Colisée, Big Ben, Statue de la Liberté, Pyramides de Gizeh, Taj Mahal, Sagrada Familia, Machu Picchu, Muraille de Chine, Acropole, Mont Saint-Michel, Tour de Pise
Géographie | Atlantique, Pacifique, Méditerranée, Mer Rouge, Mer Noire, Manche, Baltique, Mer du Nord, Mer Caspienne, Mer Morte
Géographie | Alpes, Pyrénées, Himalaya, Andes, Rocheuses, Everest, Mont Blanc, Kilimandjaro, Vosges, Jura, Massif central, Fuji
Géographie | Seine, Loire, Rhône, Garonne, Nil, Amazone, Danube, Mississippi, Tamise, Gange, Rhin, Volga
Géographie | Continent, Pays, Région, Département, Ville, Village, Quartier, Hameau, Capitale, Banlieue, Province, Commune
Géographie | Sahara, Amazonie, Antarctique, Arctique, Toundra, Steppe, Taïga, Savane, Banquise, Oasis
Langues | Français, Anglais, Espagnol, Allemand, Italien, Chinois, Japonais, Russe, Arabe, Portugais, Néerlandais, Suédois, Grec, Latin
Mythologie | Zeus, Poséidon, Hadès, Athéna, Apollon, Arès, Aphrodite, Hermès, Artémis, Héra, Dionysos, Héphaïstos
Mythologie | Odin, Thor, Loki, Freyja, Heimdall, Valhalla, Ragnarök, Yggdrasil, Valkyrie, Fenrir
Mythologie | Hercule, Achille, Ulysse, Persée, Thésée, Icare, Prométhée, Midas, Narcisse, Œdipe
Contes | Cendrillon, Blanche-Neige, Le Petit Chaperon rouge, La Belle au bois dormant, Pinocchio, Hansel et Gretel, Le Petit Poucet, Le Chat botté, Raiponce, La Petite Sirène, Peter Pan, Alice au pays des merveilles
Cinéma | Comédie, Thriller, Horreur, Science-fiction, Western, Policier, Drame, Documentaire, Romance, Comédie musicale, Film d'animation, Film catastrophe, Péplum, Film d'espionnage
Cinéma | Réalisateur, Producteur, Cadreur, Monteur, Scénariste, Maquilleur, Cascadeur, Costumier, Ingénieur du son, Figurant, Doubleur, Décorateur
Cinéma | Écran, Projecteur, Popcorn, Bande-annonce, Générique, Sous-titres, Ticket, Séance, Rangée, 3D
Télévision | Série, Feuilleton, Téléréalité, Journal télévisé, Jeu télévisé, Dessin animé, Talk-show, Émission de cuisine, Météo, Publicité, Retransmission sportive
Théâtre | Rideau, Coulisses, Scène, Loge, Costume, Souffleur, Réplique, Entracte, Applaudissements, Balcon, Orchestre, Mise en scène
Cirque | Clown, Trapéziste, Jongleur, Dompteur, Acrobate, Funambule, Contorsionniste, Chapiteau, Piste, Monocycle, Cracheur de feu
Fête foraine | Grande roue, Manège, Auto-tamponneuse, Montagnes russes, Barbe à papa, Tir à la carabine, Pêche aux canards, Train fantôme, Pomme d'amour, Stand de tir, Chamboule-tout
Jeux d'enfance | Cache-cache, Chat perché, Marelle, Corde à sauter, Colin-maillard, Chaises musicales, Un deux trois soleil, Saute-mouton, Élastique, Béret, Épervier
Jouets | Poupée, Peluche, Ballon, Puzzle, Lego, Petite voiture, Toupie, Yoyo, Cerf-volant, Billes, Trampoline, Cheval à bascule, Kaléidoscope, Circuit de train
Jeux vidéo | PlayStation, Xbox, Nintendo Switch, Game Boy, Arcade, Steam Deck, Manette, Casque VR, Borne d'arcade
